Date;Time;ULG95;DK;ULTSU;ULTDK
01.11.2016;18:11;4000;29705;0;0
02.11.2016;12:00;0;0;0;0
03.11.2016;05:45;3000;30900;0;0
04.11.2016;06:59;4000;30006;0;0
04.11.2016;22:52;4000;30003;0;0
05.11.2016;12:00;0;0;0;0
06.11.2016;09:20;11000;16003;3001;4001
07.11.2016;15:50;0;33601;0;0
08.11.2016;17:48;3001;30904;0;0
09.11.2016;17:46;7000;26002;0;0
10.11.2016;07:38;0;14203;0;7001
10.11.2016;23:16;11002;19000;4002;0
11.11.2016;12:00;0;0;0;0
12.11.2016;06:13;0;12003;0;6001
13.11.2016;13:03;0;9001;0;7000
14.11.2016;12:09;7000;21001;6001;0
15.11.2016;11:41;6001;24002;0;4002
16.11.2016;07:12;4000;28001;0;0
17.11.2016;06:30;7800;25001;0;0
17.11.2016;23:41;0;25002;3000;4001
18.11.2016;19:59;0;17003;0;0
19.11.2016;17:51;9000;21000;0;4584
20.11.2016;12:00;0;0;0;0
21.11.2016;10:30;3000;18001;0;0
22.11.2016;13:36;0;17003;0;0
23.11.2016;01:53;9000;25001;0;0
24.11.2016;06:12;3001;30903;0;0
25.11.2016;06:48;2999;30801;0;0
26.11.2016;10:51;4000;28505;0;0
27.11.2016;22:06;9001;15701;0;9502
28.11.2016;12:00;0;0;0;0
29.11.2016;06:31;6000;22001;6000;0
29.11.2016;23:37;0;23004;0;9000
30.11.2016;12:00;0;0;0;0
01.12.2016;06:24;6001;28004;0;0
01.12.2016;23:13;5001;25001;0;4001
02.12.2016;18:42;3000;27002;0;3502
03.12.2016;19:14;0;18001;0;0
04.12.2016;12:00;0;0;0;0
05.12.2016;11:49;7001;24001;0;3384
06.12.2016;11:58;4000;27002;2999;0
07.12.2016;10:22;7000;18001;3002;5000
08.12.2016;10:03;4000;28002;0;0
09.12.2016;11:47;0;30002;4002;0
10.12.2016;05:56;0;16001;0;0
11.12.2016;22:18;7001;27004;0;0
12.12.2016;12:00;0;0;0;0
13.12.2016;10:46;7001;27002;0;0
14.12.2016;12:41;7001;24005;0;3000
14.12.2016;20:42;0;16602;0;0
15.12.2016;15:03;9000;18500;0;7001
16.12.2016;11:38;0;21004;6000;7001
17.12.2016;11:59;4000;29501;0;0
18.12.2016;22:48;9001;17502;0;6002
19.12.2016;12:00;0;0;0;0
20.12.2016;11:01;3000;29305;0;0
21.12.2016;16:07;4115;30001;0;0
22.12.2016;18:29;6001;23004;0;5000
23.12.2016;22:30;7001;27003;0;0
24.12.2016;12:00;0;0;0;0
25.12.2016;12:00;0;0;0;0
26.12.2016;12:00;0;0;0;0
27.12.2016;10:41;10700;9001;7001;6000
28.12.2016;10:05;0;20003;0;0
28.12.2016;20:05;4529;10000;0;5000
29.12.2016;12:00;0;0;0;0
30.12.2016;17:16;9000;22502;0;3000
31.12.2016;12:00;0;0;0;0
01.01.2017;12:00;0;0;0;0
02.01.2017;06:30;6000;20001;3001;4000
03.01.2017;22:46;6001;28003;0;0
04.01.2017;12:00;0;0;0;0
05.01.2017;11:41;7000;22366;0;5001
06.01.2017;06:58;0;11999;0;0
07.01.2017;22:00;9000;15004;0;5501
08.01.2017;12:00;0;0;0;0
09.01.2017;22:07;0;26680;0;7000
10.01.2017;12:00;0;0;0;0
11.01.2017;06:52;3500;0;0;11000
11.01.2017;18:15;12000;0;7003;16302
12.01.2017;14:42;0;0;0;17001
12.01.2017;16:19;0;0;0;16001
13.01.2017;22:37;8437;13998;0;12002
14.01.2017;12:00;0;0;0;0
15.01.2017;12:00;0;0;0;0
16.01.2017;06:04;6499;12000;2999;12000
17.01.2017;06:00;0;12997;0;20433
18.01.2017;06:19;0;13401;0;17402
19.01.2017;06:13;10600;11999;0;12001
20.01.2017;06:51;4000;12001;3000;14001
21.01.2017;17:47;3901;14598;0;14600
22.01.2017;12:00;0;0;0;0
23.01.2017;09:40;4001;10999;0;15000
24.01.2017;16:18;9000;24001;0;0
25.01.2017;19:43;3916;15000;0;15001
26.01.2017;12:00;0;0;0;0
27.01.2017;06:17;0;14998;0;18456
28.01.2017;06:02;9000;13001;0;11999
29.01.2017;12:00;0;0;0;0
30.01.2017;06:08;9000;11001;6000;9000
31.01.2017;11:59;0;30602;0;3000
01.02.2017;18:19;0;30002;0;3631
02.02.2017;18:11;7101;21000;0;6256
03.02.2017;18:38;3996;21000;0;9000
04.02.2017;22:19;7001;20201;0;3000
05.02.2017;12:00;0;0;0;0
06.02.2017;12:04;7100;17002;4302;5001
07.02.2017;18:03;0;31701;0;0
08.02.2017;23:15;4001;30001;0;0
09.02.2017;12:00;0;0;0;0
10.02.2017;10:57;3000;30905;0;0
11.02.2017;23:02;5001;20002;0;9000
12.02.2017;12:00;0;0;0;0
13.02.2017;11:09;9000;21002;0;3001
14.02.2017;18:10;9000;25008;0;0
15.02.2017;11:39;0;14400;4841;0
15.02.2017;22:00;6238;17002;0;9001
16.02.2017;19:08;4000;12404;0;0
17.02.2017;11:25;0;17004;0;0
18.02.2017;22:31;7001;24003;0;0
19.02.2017;12:00;0;0;0;0
20.02.2017;10:35;8900;12001;5003;9103
21.02.2017;11:00;0;12003;0;0
21.02.2017;17:38;0;24605;0;0
22.02.2017;11:15;0;17602;0;0
23.02.2017;11:13;7000;26506;0;0
24.02.2017;11:16;10001;24002;0;0
25.02.2017;17:40;0;30004;0;0
26.02.2017;12:00;0;0;0;0
27.02.2017;20:49;11601;23303;0;0
28.02.2017;20:28;4000;30004;0;0
01.03.2017;19:12;6000;21001;0;7000
02.03.2017;23:08;6000;27006;0;0
03.03.2017;23:52;4005;26697;0;3009
04.03.2017;12:00;0;0;0;0
05.03.2017;12:00;0;0;0;0
06.03.2017;06:00;7000;20000;3002;4001
07.03.2017;06:19;3601;29402;0;0
08.03.2017;06:20;7000;22000;3801;0
09.03.2017;06:00;5001;27005;0;0
10.03.2017;06:30;3000;26903;0;4001
11.03.2017;05:46;0;27003;0;6501
12.03.2017;12:00;0;0;0;0
13.03.2017;11:20;4000;27003;3002;0
13.03.2017;22:39;8999;17499;0;7000
14.03.2017;23:22;6239;19001;0;9000
15.03.2017;22:39;0;25003;6002;3001
16.03.2017;22:15;7000;27003;0;0
17.03.2017;19:41;5999;27002;0;0
18.03.2017;12:00;0;0;0;0
19.03.2017;12:00;0;0;0;0
20.03.2017;06:04;0;27002;0;6597
20.03.2017;22:46;9001;23003;0;0
21.03.2017;23:38;9001;20002;5002;0
22.03.2017;22:51;5001;28002;0;0
23.03.2017;23:37;4001;27003;0;3000
24.03.2017;23:29;6001;25403;0;0
25.03.2017;12:00;0;0;0;0
26.03.2017;22:53;6000;23001;0;5001
27.03.2017;12:00;0;0;0;0
28.03.2017;11:53;0;26899;3001;4001
28.03.2017;22:20;7000;22002;0;5001
29.03.2017;12:00;0;0;0;0
30.03.2017;00:04;8999;22962;3002;0
31.03.2017;00:37;0;28004;0;5609
31.03.2017;22:03;10000;18937;0;3000
01.04.2017;12:00;0;0;0;0
02.04.2017;01:18;7000;20999;3000;0
03.04.2017;12:00;0;0;0;0
04.04.2017;00:00;4000;30003;0;0
04.04.2017;22:28;4000;30002;0;0
05.04.2017;22:00;4000;27504;0;0
06.04.2017;12:00;0;0;0;0
07.04.2017;06:41;0;27002;0;6597
07.04.2017;22:23;6999;22500;3836;0
08.04.2017;12:00;0;0;0;0
09.04.2017;12:03;9001;12001;4001;9001
10.04.2017;19:03;4001;30004;0;0
11.04.2017;18:40;6001;24003;0;3001
12.04.2017;18:00;5001;28002;0;0
13.04.2017;17:58;7002;26002;0;0
14.04.2017;22:51;0;28401;0;3632
15.04.2017;12:00;0;0;0;0
16.04.2017;12:00;0;0;0;0
